id,name,genre,album,popularity,duration_ms,explicit,Artist_1,Artist_2,Artist_3,Artist_4,Artist_5,Artist_6,Artist_7,Artist_8,Artist_9,Artist_10,Artist_11
7kr3xZk4yb3YSZ4VFtg2Qt,Acoustic,acoustic,1975,58,172199,FALSE,Billy Raffoul,None,None,None,None,None,None,None,None,None,None
1kJygfS4eoVziBBI93MSYp,Acoustic,acoustic,A Few More Hours at YYZ,57,172202,FALSE,Billy Raffoul,None,None,None,None,None,None,None,None,None,None
6lynns69p4zTCRxmmiSY1x,Here Comes the Sun - Acoustic,acoustic,Here Comes the Sun,42,144786,FALSE,Molly Hocking,Bailey Rushlow,None,None,None,None,None,None,None,None,None
1RC9slv335IfLce5vt9KTW,Acoustic #3,acoustic,Dizzy up the Girl,46,116573,FALSE,The Goo Goo Dolls,None,None,None,None,None,None,None,None,None,None
5o9L8xBuILoVjLECSBi7Vo,My Love Mine All Mine - Acoustic Instrumental,acoustic,My Love Mine All Mine,33,133922,FALSE,Guus Dielissen,Casper Esmann,None,None,None,None,None,None,None,None,None
742ZnC1OgUGIScdzXEy5ui,Acoustic,acoustic,#4,14,238146,FALSE,Ling tosite sigure,None,None,None,None,None,None,None,None,None,None
3vpJdk93GzerZnlou6Ua0z,Beautiful Things - Acoustic,acoustic,Daydream,0,201248,FALSE,Benson Boone,None,None,None,None,None,None,None,None,None,None
42qGA2116mkpSAaxzQfjEf,Landslide,acoustic,Landslide,29,199222,FALSE,Guus Dielissen,Andrew Gialanella,None,None,None,None,None,None,None,None,None
0OHHcoyrWnkVukc911UeZd,Acoustic,acoustic,Agua,15,129250,FALSE,Sonido de Agua en Bambu,None,None,None,None,None,None,None,None,None,None
64zEnxASl3epPAIH4MsmSw,Acoustic Energy Vibrations,acoustic,528: Mind & Body Healing,45,118331,FALSE,Healing Solfeggio Frequencies,Harmony Touch,None,None,None,None,None,None,None,None,None
1okbqCnEzl9GUddnjNkb19,Little Lies,acoustic,Little Lies,39,197851,FALSE,Roses & Frey,None,None,None,None,None,None,None,None,None,None
5Ix5RkjIO1r3gL0NH2KpqK,Acoustic,acoustic,Plasma,8,356870,FALSE,The Re-Stoned,None,None,None,None,None,None,None,None,None,None
0i49QlMEbbbax1gZe2qQzm,Too Good At Goodbyes - Acoustic,acoustic,Hear The Pride,0,220095,FALSE,Sam Smith,None,None,None,None,None,None,None,None,None,None
